model,AUC,source
GradientBoostingClassifier,0.9903968255235622,Tclin
RandomForestClassifier,0.9871386108813702,Tclin
ExtraTreesClassifier,0.9773230283965608,Tclin
SVC,0.9731032278924158,Tclin
GradientBoostingClassifier,0.9463114665592895,Tchem
RandomForestClassifier,0.9393730207449262,Tchem
ExtraTreesClassifier,0.9152154501550236,Tchem
SVC,0.8984107593269786,Tchem
GradientBoostingClassifier,0.9671481085680242,Tchem_Tclin
RandomForestClassifier,0.9620143007276634,Tchem_Tclin
ExtraTreesClassifier,0.938451093707322,Tchem_Tclin
SVC,0.9377968633297789,Tchem_Tclin
GradientBoostingClassifier,0.9388618996164448,Tier1_Tier2_Tier3A
RandomForestClassifier,0.9309387136483248,Tier1_Tier2_Tier3A
SVC,0.9194664993013024,Tier1_Tier2_Tier3A
ExtraTreesClassifier,0.9146852416495286,Tier1_Tier2_Tier3A
GradientBoostingClassifier,0.9586178253157236,Tier1_Tier2
RandomForestClassifier,0.9533892061652806,Tier1_Tier2
SVC,0.9345999355497816,Tier1_Tier2
ExtraTreesClassifier,0.9345029935174832,Tier1_Tier2
GradientBoostingClassifier,0.9666847430948284,Tier1
RandomForestClassifier,0.9598739099043252,Tier1
ExtraTreesClassifier,0.9509793678778654,Tier1
SVC,0.9444690306380225,Tier1
GradientBoostingClassifier,0.9691849802378034,Tclin_Tier1_union
RandomForestClassifier,0.9638652474502514,Tclin_Tier1_union
ExtraTreesClassifier,0.9532907482485578,Tclin_Tier1_union
SVC,0.9473201506306332,Tclin_Tier1_union
